# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
ECSPGSQL;60;1430600864;257764;3853200;93.73;133472;3344864;704560;8.48
ECSPGSQL;60;1430600924;158988;3951976;96.13;135088;3439640;769932;9.27
ECSPGSQL;60;1430600984;31064;4079900;99.24;121756;3549124;804484;9.69
ECSPGSQL;60;1430601044;20648;4090316;99.50;115856;3565480;805124;9.69
ECSPGSQL;60;1430601104;41984;4068980;98.98;117188;3566852;781348;9.41
ECSPGSQL;60;1430601164;31684;4079280;99.23;118488;3572656;783616;9.44
ECSPGSQL;60;1430601224;22260;4088704;99.46;119640;3579504;849540;10.23
ECSPGSQL;60;1430601284;27476;4083488;99.33;120984;3572496;850404;10.24
ECSPGSQL;60;1430601344;34536;4076428;99.16;121988;3563256;891212;10.73
ECSPGSQL;60;1430601404;38388;4072576;99.07;119276;3561264;891420;10.73
